source_id,target_id,paper_title,source_url,species,figure_or_table,x_name,x_value,x_unit,y_name,y_value,y_unit,variance_type,variance_value,n,digitization_method,notes
diez_2014,necrophoresis_worker_survival_endpoint,Keep the nest clean: survival advantages of corpse removal in ants,https://pmc.ncbi.nlm.nih.gov/articles/PMC4126623/,Myrmica rubra,Results text / Figure 1a,removal_treatment,0,restricted removal LR,worker_survival_day_50,0.874,fraction,sd,0.101,15,article_text_numeric,"LR colonies had restricted corpse removal. Results text reports 87.4 +/- 10.1% workers alive at 50 days; N=15 colonies."
diez_2014,necrophoresis_worker_survival_endpoint,Keep the nest clean: survival advantages of corpse removal in ants,https://pmc.ncbi.nlm.nih.gov/articles/PMC4126623/,Myrmica rubra,Results text / Figure 1a,removal_treatment,1,free removal FR,worker_survival_day_50,0.940,fraction,sd,0.071,15,article_text_numeric,"FR colonies could remove corpses normally. Results text reports 94.0 +/- 7.1% workers alive at 50 days; N=15 colonies."
