seed,species,ants,days,bias_branch,bias_strength,upper_crossings,lower_crossings,total_crossings,upper_return_crossings,lower_return_crossings,return_crossings,selected_branch,return_selected_branch,dominance,return_dominance,food_trips,food_collected,food_pheromone,upper_food_pheromone,lower_food_pheromone,final_ants,dead
1,lasius,240,4,upper,350,590,86,676,176,8,184,upper,upper,0.7456,0.913,179,900,38501,1772,307,240,0
2,lasius,240,4,upper,350,624,155,779,222,22,244,upper,upper,0.6021,0.8197,186,934,40195,1842,494,240,0
3,lasius,240,4,upper,350,647,289,936,238,71,309,upper,upper,0.3825,0.5405,178,887,48685,1791,1346,240,0
