profile,phase,n,mean_phase_food_trips,mean_phase_food_collected,mean_avg_turn_noise,mean_food_pheromone
diverse,initial_food,3,4.0,19.0,0.0604,18793.0
diverse,relocated_food,3,22.0,109.333,0.0604,51449.333
high,initial_food,3,2.667,13.667,0.105,11067.667
high,relocated_food,3,18.0,92.0,0.105,33195.0
low,initial_food,3,2.667,14.333,0.018,34960.333
low,relocated_food,3,51.667,254.667,0.018,25736.0
medium,initial_food,3,12.667,61.333,0.055,27865.667
medium,relocated_food,3,23.0,111.333,0.055,50823.333
