profile,phase,n,mean_phase_food_trips,mean_phase_food_collected,mean_avg_turn_noise,mean_food_pheromone
diverse,initial_food,3,4.0,19.0,0.0604,18793.0
diverse,relocated_food,3,19.667,98.0,0.0604,52747.667
high,initial_food,3,2.667,13.667,0.105,11067.667
high,relocated_food,3,20.667,103.667,0.105,29571.0
low,initial_food,3,2.667,14.333,0.018,34960.333
low,relocated_food,3,48.667,242.0,0.018,23842.667
medium,initial_food,3,12.667,61.333,0.055,27865.667
medium,relocated_food,3,21.0,103.667,0.055,47835.0
