seed,profile,ants_requested,pre_days,post_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
1,high,240,2,2,relocated_food,960,600,16,75,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2377475402,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,103,1961,7,0,0,85,89,0.105,0,240,25.9,59.2,0.24,19,0,19,92,0,4.75,0,0,0,205,1,0,0,0,34,0,0,0,0,7,0,0,0,0,0,34,11779,0,32600,0,0,0
2,high,240,2,2,initial_food,250,180,3,17,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2099403283,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,37,1970,13,0,0,87,90,0.105,0,240,25.6,61.5,0.18,3,0,3,17,0,1.5,0,0,0,63,141,0,0,0,36,0,0,0,0,13,0,0,0,0,0,36,12731,0,30475,0,0,0
2,high,240,2,2,relocated_food,960,600,17,95,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,4165525808,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,125,1960,16,0,0,86,89,0.105,0,240,25.9,59.2,0.24,20,0,20,112,0,5,0,0,0,199,5,0,0,0,36,0,0,0,0,16,0,0,0,0,0,36,29453,0,30537,0,0,0
3,high,240,2,2,initial_food,250,180,1,6,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1414093940,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,25,1970,8,0,0,87,90,0.105,0,240,25.6,61.5,0.18,1,0,1,6,0,0.5,0,0,0,0,217,0,0,0,23,0,0,0,0,8,0,0,0,0,0,23,8191,0,32784,0,0,0
3,high,240,2,2,relocated_food,960,600,19,93,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3319479774,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,109,1960,19,0,0,86,89,0.105,0,240,25.9,59.2,0.24,20,0,20,99,0,5,0,0,0,211,6,0,0,0,23,0,0,0,0,19,0,0,0,0,0,23,28660,0,32560,0,0,0
1,diverse,240,2,2,initial_food,250,180,5,23,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3971303196,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,48,1978,17,0,0,85,88,0.0604,72,72,25.6,61.5,0.18,5,0,5,23,0,2.5,0,0,0,135,71,0,0,0,34,0,97,25,0,17,0,0,0,0,0,34,15947,0,31326,0,0,0
1,diverse,240,2,2,relocated_food,960,600,20,99,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,769454996,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,138,1964,39,0,0,85,88,0.0604,72,72,25.9,59.2,0.24,25,0,25,122,0,6.25,0,0,0,201,5,0,0,0,34,0,40,60,0,39,0,0,0,0,0,34,55249,0,29291,0,0,0
2,diverse,240,2,2,initial_food,250,180,9,50,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3789555451,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,77,1977,23,0,0,86,89,0.0604,72,72,25.6,61.5,0.18,9,0,9,50,0,4.5,0,0,0,195,9,0,0,0,36,0,68,36,0,23,0,0,0,0,0,36,24387,0,30568,0,0,0
2,diverse,240,2,2,relocated_food,960,600,20,96,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2832003369,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,161,1960,59,0,0,86,89,0.0604,72,72,25.9,59.2,0.24,29,0,29,146,0,7.25,0,0,0,200,4,0,0,0,36,0,26,56,0,59,0,0,0,0,0,36,70912,0,25654,0,0,0
3,diverse,240,2,2,initial_food,250,180,7,38,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2207559760,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,64,1978,23,0,0,86,88,0.0604,72,72,25.6,61.5,0.18,7,0,7,38,0,3.5,0,0,0,204,13,0,0,0,23,0,84,40,0,23,0,0,0,0,0,23,28543,0,32292,0,0,0
3,diverse,240,2,2,relocated_food,960,600,40,205,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1243447416,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,253,1956,31,0,0,88,90,0.0604,72,72,25.9,59.2,0.24,47,0,47,243,0,11.75,0,0,0,214,3,0,0,0,23,0,40,79,0,31,0,0,0,0,0,23,42619,0,28702,0,0,0
