seed,profile,ants_requested,pre_days,post_days,adaptation_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,avg_base_turn_noise,avg_exploration_drive,avg_traffic_load,traffic_max_cell,traffic_mean_occupied_cell,traffic_congested_cells,ants_with_food_memory,avg_food_memory_strength,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,state_traffic_detour,state_checking_known_food_site,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
8,medium,240,4,4,0.5,relocated_late,220,620,39,200,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,1157025715,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,164,54,23,0,0,0,0,0,0,0,303,1916,66,0,0,88,91,0.0611,0.055,0.102,0.183,9,1.62,3,66,0.533,0,25,26,58.2,0.27,65,0,65,343,0,8.125,0,0,0,216,2,0,0,0,23,0,106,45,0,66,0,0,0,0,0,23,0,0,43244,0,22751,0,0,0
8,medium,240,4,4,0.5,relocated_total,220,620,45,233,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,1157025715,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,164,54,23,0,0,0,0,0,0,0,303,1916,66,0,0,88,91,0.0611,0.055,0.102,0.183,9,1.62,3,66,0.533,0,25,26,58.2,0.27,65,0,65,343,0,8.125,0,0,0,216,2,0,0,0,23,0,106,45,0,66,0,0,0,0,0,23,0,0,43244,0,22751,0,0,0
1,high,240,4,4,0.5,initial_food,960,180,17,79,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,640956769,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,157,47,36,0,0,0,0,0,0,0,83,1950,11,0,0,86,90,0.1035,0.105,0.002,0.002,3,1.17,0,14,0.45,0,240,25.9,59.2,0.24,17,0,17,79,0,4.25,0,0,0,195,9,0,0,0,36,0,0,0,0,11,0,0,0,0,0,36,0,0,23725,0,31074,0,0,0
1,high,240,4,4,0.5,relocated_early,220,620,4,23,4.5,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,88797479,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,157,47,36,1,0,0,1,0,0,0,103,1947,20,0,0,86,90,0.1046,0.105,0.013,0.004,4,1.2,0,23,0.445,0,240,25.9,59,0.25,21,0,21,102,0,4.667,0,0,0,197,7,0,0,0,36,0,0,0,0,20,0,0,0,0,0,36,0,0,28262,0,30721,0,0,0
1,high,240,4,4,0.5,relocated_late,220,620,45,223,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,149548205,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,157,47,36,0,1,0,1,0,0,0,317,1934,16,0,0,85,88,0.1033,0.105,0.003,0.003,4,1.18,0,17,0.48,0,240,26,58.2,0.27,66,0,66,325,0,8.25,0,0,0,204,0,0,0,0,36,0,0,0,0,16,0,0,0,0,0,36,0,0,28756,0,31212,0,0,0
1,high,240,4,4,0.5,relocated_total,220,620,49,246,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,149548205,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,157,47,36,0,1,0,1,0,0,0,317,1934,16,0,0,85,88,0.1033,0.105,0.003,0.003,4,1.18,0,17,0.48,0,240,26,58.2,0.27,66,0,66,325,0,8.25,0,0,0,204,0,0,0,0,36,0,0,0,0,16,0,0,0,0,0,36,0,0,28756,0,31212,0,0,0
2,high,240,4,4,0.5,initial_food,960,180,16,75,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,2081905877,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,51,37,0,0,0,0,0,0,0,83,1955,20,0,0,86,90,0.1032,0.105,0.002,0.001,3,1.19,0,21,0.467,0,240,25.9,59.2,0.24,16,0,16,75,0,4,0,0,0,197,6,0,0,0,37,0,0,0,0,20,0,0,0,0,0,37,0,0,26988,0,30836,0,0,0
2,high,240,4,4,0.5,relocated_early,220,620,4,16,4.5,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,1172455297,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,51,37,1,0,0,1,0,0,0,96,1952,25,0,0,86,90,0.1052,0.105,0.019,0.003,3,1.19,0,26,0.48,0,240,25.9,59,0.25,20,0,20,91,0,4.444,0,0,0,199,4,0,0,0,37,0,0,0,0,25,0,0,0,0,0,37,0,0,32878,0,30216,0,0,0
2,high,240,4,4,0.5,relocated_late,220,620,41,214,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,2853100897,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,51,37,0,0,1,1,0,0,0,300,1937,22,0,0,85,88,0.1036,0.105,0.006,0.001,3,1.19,0,23,0.464,0,240,26,58.2,0.27,61,0,61,305,0,7.625,0,0,0,201,2,0,0,0,37,0,0,0,0,22,0,0,0,0,0,37,0,0,37777,0,29579,0,0,0
2,high,240,4,4,0.5,relocated_total,220,620,45,230,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,2853100897,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,51,37,0,0,1,1,0,0,0,300,1937,22,0,0,85,88,0.1036,0.105,0.006,0.001,3,1.19,0,23,0.464,0,240,26,58.2,0.27,61,0,61,305,0,7.625,0,0,0,201,2,0,0,0,37,0,0,0,0,22,0,0,0,0,0,37,0,0,37777,0,29579,0,0,0
3,high,240,4,4,0.5,initial_food,960,180,16,79,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,2290410000,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,167,44,29,0,0,0,0,0,0,0,83,1949,22,0,0,87,90,0.1034,0.105,0.001,0.002,3,1.18,0,22,0.48,0,240,25.9,59.2,0.24,16,0,16,79,0,4,0,0,0,206,5,0,0,0,29,0,0,0,0,22,0,0,0,0,0,29,0,0,27111,0,32200,0,0,0
3,high,240,4,4,0.5,relocated_early,220,620,8,46,4.5,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,4086712847,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,167,44,29,1,0,0,1,0,0,0,126,1946,30,0,0,87,90,0.1059,0.105,0.023,0.005,3,1.21,0,33,0.462,0,240,25.9,59,0.25,24,0,24,125,0,5.333,0,0,0,209,2,0,0,0,29,0,0,0,0,30,0,0,0,0,0,29,0,0,39852,0,30690,0,0,0
3,high,240,4,4,0.5,relocated_late,220,620,39,189,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,3315101677,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,167,44,29,0,1,0,1,0,0,0,303,1930,18,0,0,86,89,0.1038,0.105,0.004,0.004,4,1.21,0,21,0.45,0,240,26,58.2,0.27,63,0,63,314,0,7.875,0,0,0,211,0,0,0,0,29,0,0,0,0,18,0,0,0,0,0,29,0,0,37501,0,31655,0,0,0
3,high,240,4,4,0.5,relocated_total,220,620,47,235,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,3315101677,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,167,44,29,0,1,0,1,0,0,0,303,1930,18,0,0,86,89,0.1038,0.105,0.004,0.004,4,1.21,0,21,0.45,0,240,26,58.2,0.27,63,0,63,314,0,7.875,0,0,0,211,0,0,0,0,29,0,0,0,0,18,0,0,0,0,0,29,0,0,37501,0,31655,0,0,0
4,high,240,4,4,0.5,initial_food,960,180,18,92,4,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,1029607074,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,49,28,0,0,0,0,0,0,0,99,1955,16,0,0,87,91,0.1037,0.105,0.002,0.001,3,1.15,0,17,0.476,0,240,25.9,59.2,0.24,18,0,18,92,0,4.5,0,0,0,207,5,0,0,0,28,0,0,0,0,16,0,0,0,0,0,28,0,0,23589,0,32287,0,0,0
4,high,240,4,4,0.5,relocated_early,220,620,7,39,4.5,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,2328615531,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,49,28,0,1,0,1,0,0,0,135,1952,22,0,0,87,90,0.1051,0.105,0.015,0.009,5,1.19,0,22,0.48,0,240,25.9,59,0.25,25,0,25,131,0,5.556,0,0,0,210,2,0,0,0,28,0,0,0,0,22,0,0,0,0,0,28,0,0,26883,0,31958,0,0,0
4,high,240,4,4,0.5,relocated_late,220,620,45,213,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,4211573002,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,164,49,28,0,0,0,0,0,0,0,338,1938,20,0,0,86,89,0.1033,0.1047,0.003,0.003,3,1.19,0,20,0.48,1,240,26,58.2,0.27,70,0,70,344,0,8.75,0,0,0,213,0,0,0,0,28,0,0,1,0,20,0,0,0,0,0,28,0,0,37423,0,31906,0,0,0
4,high,240,4,4,0.5,relocated_total,220,620,52,252,8,0.5-adaptive-stochasticity,provisional_behavioral_units,20,60,38,3.6,86400,4211573002,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,164,49,28,0,0,0,0,0,0,0,338,1938,20,0,0,86,89,0.1033,0.1047,0.003,0.003,3,1.19,0,20,0.48,1,240,26,58.2,0.27,70,0,70,344,0,8.75,0,0,0,213,0,0,0,0,28,0,0,1,0,20,0,0,0,0,0,28,0,0,37423,0,31906,0,0,0
