seed,profile,ants_requested,pre_days,post_days,adaptation_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,avg_traffic_load,traffic_max_cell,traffic_mean_occupied_cell,traffic_congested_cells,ants_with_food_memory,avg_food_memory_strength,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,state_traffic_detour,state_checking_known_food_site,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
2,high,240,2,2,0.5,relocated_late,220,620,17,84,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,837766684,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,113,1957,18,0,0,86,90,0.105,0.003,3,1.15,0,18,0.48,0,240,25.9,59.2,0.24,20,0,20,101,0,5,0,0,0,196,8,0,0,0,36,0,0,0,0,18,0,0,0,0,0,36,0,0,30246,0,30657,0,0,0
2,high,240,2,2,0.5,relocated_total,220,620,19,97,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,837766684,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,113,1957,18,0,0,86,90,0.105,0.003,3,1.15,0,18,0.48,0,240,25.9,59.2,0.24,20,0,20,101,0,5,0,0,0,196,8,0,0,0,36,0,0,0,0,18,0,0,0,0,0,36,0,0,30246,0,30657,0,0,0
3,high,240,2,2,0.5,initial_food,960,180,3,14,2,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,106134817,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,28,1963,11,0,0,87,91,0.105,0.003,3,1.19,0,11,0.48,0,240,25.6,61.5,0.18,3,0,3,14,0,1.5,0,0,0,1,216,0,0,0,23,0,0,0,0,11,0,0,0,0,0,23,0,0,8821,0,32074,0,0,0
3,high,240,2,2,0.5,relocated_early,220,620,3,15,2.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,482207967,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,41,1960,16,0,0,87,91,0.105,0.015,7,1.22,1,17,0.476,0,240,25.7,60.7,0.2,6,0,6,29,0,2.4,0,0,0,61,156,0,0,0,23,0,0,0,0,16,0,0,0,0,0,23,2,0,16666,0,32784,0,0,0
3,high,240,2,2,0.5,relocated_late,220,620,16,87,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2359422424,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,122,1954,15,0,0,87,90,0.105,0.003,3,1.21,0,15,0.48,0,240,25.9,59.2,0.24,22,0,22,116,0,5.5,0,0,0,211,6,0,0,0,23,0,0,0,0,15,0,0,0,0,0,23,0,0,28335,0,32678,0,0,0
3,high,240,2,2,0.5,relocated_total,220,620,19,102,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2359422424,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,122,1954,15,0,0,87,90,0.105,0.003,3,1.21,0,15,0.48,0,240,25.9,59.2,0.24,22,0,22,116,0,5.5,0,0,0,211,6,0,0,0,23,0,0,0,0,15,0,0,0,0,0,23,0,0,28335,0,32678,0,0,0
1,diverse,240,2,2,0.5,initial_food,960,180,4,23,2,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,1719500609,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,45,1971,35,0,0,86,89,0.0604,0.024,4,1.28,0,37,0.572,72,72,25.6,61.5,0.18,4,0,4,23,0,2,0,0,0,119,87,0,0,0,34,0,76,37,0,35,0,0,0,0,0,34,1,0,38208,0,29181,0,0,0
1,diverse,240,2,2,0.5,relocated_early,220,620,8,44,2.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,518851438,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,85,1966,34,0,0,86,90,0.0604,0.039,6,1.33,0,37,0.568,72,72,25.7,60.7,0.2,12,0,12,67,0,4.8,0,0,0,181,25,0,0,0,34,0,57,57,0,34,0,0,0,0,0,34,0,0,48352,0,28626,0,0,0
1,diverse,240,2,2,0.5,relocated_late,220,620,18,85,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2253463202,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,155,1951,31,0,0,87,91,0.0604,0.2,8,1.59,3,36,0.541,72,72,25.9,59.2,0.24,30,0,30,152,0,7.5,0,0,0,193,13,0,0,0,34,0,40,78,0,31,0,0,0,0,0,34,0,0,39745,0,24573,0,0,0
1,diverse,240,2,2,0.5,relocated_total,220,620,26,129,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2253463202,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,155,1951,31,0,0,87,91,0.0604,0.2,8,1.59,3,36,0.541,72,72,25.9,59.2,0.24,30,0,30,152,0,7.5,0,0,0,193,13,0,0,0,34,0,40,78,0,31,0,0,0,0,0,34,0,0,39745,0,24573,0,0,0
2,diverse,240,2,2,0.5,initial_food,960,180,0,0,2,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2886048831,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,24,1973,23,0,0,86,89,0.0604,0.003,3,1.18,0,23,0.594,72,72,25.6,61.5,0.18,0,0,0,0,0,0,0,0,0,0,204,0,0,0,36,0,86,30,0,23,0,0,0,0,0,36,0,0,19104,0,30714,0,0,0
2,diverse,240,2,2,0.5,relocated_early,220,620,1,6,2.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2109097258,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,28,1970,28,0,0,85,89,0.0604,0.041,6,1.29,0,28,0.586,72,72,25.7,60.7,0.2,1,0,1,6,0,0.4,0,0,0,1,203,0,0,0,36,0,47,65,0,28,0,0,0,0,0,36,0,0,34659,0,30219,0,0,0
2,diverse,240,2,2,0.5,relocated_late,220,620,8,40,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,3057878082,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,56,1956,30,0,0,86,90,0.0604,0.15,8,1.5,2,30,0.581,72,72,25.9,59.2,0.24,9,0,9,46,0,2.25,0,0,0,178,26,0,0,0,36,0,39,72,0,30,0,0,0,0,0,36,1,0,46419,0,28063,0,0,0
2,diverse,240,2,2,0.5,relocated_total,220,620,9,46,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,3057878082,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,56,1956,30,0,0,86,90,0.0604,0.15,8,1.5,2,30,0.581,72,72,25.9,59.2,0.24,9,0,9,46,0,2.25,0,0,0,178,26,0,0,0,36,0,39,72,0,30,0,0,0,0,0,36,1,0,46419,0,28063,0,0,0
3,diverse,240,2,2,0.5,initial_food,960,180,2,11,2,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2283934873,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,35,1974,17,0,0,86,89,0.0604,0.002,3,1.15,0,18,0.571,72,72,25.6,61.5,0.18,2,0,2,11,0,1,0,0,0,20,197,0,0,0,23,0,104,33,0,17,0,0,0,0,0,23,0,0,16017,0,32866,0,0,0
3,diverse,240,2,2,0.5,relocated_early,220,620,3,17,2.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,3344524590,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,50,1972,28,0,0,86,89,0.0604,0.008,4,1.2,0,29,0.565,72,72,25.7,60.7,0.2,5,0,5,28,0,2,0,0,0,140,77,0,0,0,23,0,85,44,0,28,0,0,0,0,0,23,0,0,28160,0,32817,0,0,0
3,diverse,240,2,2,0.5,relocated_late,220,620,12,54,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,805139685,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,91,1956,40,0,0,86,90,0.0604,0.12,7,1.49,1,42,0.572,72,72,25.9,59.2,0.24,17,0,17,82,0,4.25,0,0,0,203,14,0,0,0,23,0,43,71,0,40,0,0,0,0,0,23,0,0,49844,0,29780,0,0,0
3,diverse,240,2,2,0.5,relocated_total,220,620,15,71,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,805139685,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,91,1956,40,0,0,86,90,0.0604,0.12,7,1.49,1,42,0.572,72,72,25.9,59.2,0.24,17,0,17,82,0,4.25,0,0,0,203,14,0,0,0,23,0,43,71,0,40,0,0,0,0,0,23,0,0,49844,0,29780,0,0,0
