seed,species,ants,days,bias_branch,bias_strength,upper_crossings,lower_crossings,total_crossings,upper_return_crossings,lower_return_crossings,return_crossings,selected_branch,return_selected_branch,dominance,return_dominance,food_trips,food_collected,food_pheromone,upper_food_pheromone,lower_food_pheromone,final_ants,dead
1,lasius,240,6,upper,350,1073,328,1401,363,63,426,upper,upper,0.5318,0.7042,327,1615,28226,1359,240,240,0
2,lasius,240,6,upper,350,1115,307,1422,391,49,440,upper,upper,0.5682,0.7773,353,1768,6488,298,33,240,0
3,lasius,241,6,upper,350,1068,381,1449,390,51,441,upper,upper,0.4741,0.7687,358,1787,1709,16,43,241,0
