seed,species,ants,days,bias_branch,bias_strength,upper_crossings,lower_crossings,total_crossings,upper_return_crossings,lower_return_crossings,return_crossings,selected_branch,return_selected_branch,dominance,return_dominance,food_trips,food_collected,food_pheromone,upper_food_pheromone,lower_food_pheromone,final_ants,dead
1,lasius,240,4,none,0,230,227,457,40,33,73,upper,upper,0.0066,0.0959,29,136,28214,1010,685,240,0
2,lasius,240,4,none,0,252,189,441,46,30,76,upper,upper,0.1429,0.2105,34,169,26991,1016,758,240,0
3,lasius,240,4,none,0,275,291,566,55,48,103,lower,upper,0.0283,0.068,23,117,30157,1331,920,240,0
