seed,profile,ants_requested,pre_days,post_days,adaptation_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
3,diverse,240,2,2,0.5,relocated_late,220,620,4,19,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1746771336,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,72,1957,41,0,0,86,90,0.0604,72,72,25.9,59.2,0.24,12,0,12,62,0,3,0,0,0,205,12,0,0,0,23,0,37,83,0,41,0,0,0,0,0,23,48668,0,30025,0,0,0
3,diverse,240,2,2,0.5,relocated_total,220,620,8,42,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1746771336,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,72,1957,41,0,0,86,90,0.0604,72,72,25.9,59.2,0.24,12,0,12,62,0,3,0,0,0,205,12,0,0,0,23,0,37,83,0,41,0,0,0,0,0,23,48668,0,30025,0,0,0
4,diverse,240,2,2,0.5,initial_food,960,180,3,14,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,952984298,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,0,0,0,0,0,38,1976,32,0,0,85,89,0.0604,72,72,25.6,61.5,0.18,3,0,3,14,0,1.5,0,0,0,86,126,0,0,0,28,0,72,46,0,32,0,0,0,0,0,28,34382,0,30969,0,0,0
4,diverse,240,2,2,0.5,relocated_early,220,620,1,5,2.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1950469923,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,0,0,0,0,0,39,1970,38,0,0,85,89,0.0604,72,72,25.7,60.7,0.2,4,0,4,19,0,1.6,0,0,0,104,108,0,0,0,28,0,61,56,0,38,0,0,0,0,0,28,40952,0,30307,0,0,0
4,diverse,240,2,2,0.5,relocated_late,220,620,46,233,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1044383309,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,0,0,0,0,0,259,1958,19,0,0,87,90,0.0604,72,72,25.9,59.2,0.24,50,0,50,252,0,12.5,0,0,0,209,3,0,0,0,28,0,63,63,0,19,0,0,0,0,0,28,31761,0,29202,0,0,0
4,diverse,240,2,2,0.5,relocated_total,220,620,47,238,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1044383309,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,0,0,0,0,0,259,1958,19,0,0,87,90,0.0604,72,72,25.9,59.2,0.24,50,0,50,252,0,12.5,0,0,0,209,3,0,0,0,28,0,63,63,0,19,0,0,0,0,0,28,31761,0,29202,0,0,0
5,diverse,240,2,2,0.5,initial_food,960,180,2,10,2,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3223012600,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,161,47,32,0,0,0,0,0,0,0,38,1976,40,0,0,85,88,0.0604,72,72,25.6,61.5,0.18,2,0,2,10,0,1,0,0,0,75,133,0,0,0,32,0,68,42,0,40,0,0,0,0,0,32,41774,0,29514,0,0,0
5,diverse,240,2,2,0.5,relocated_early,220,620,6,30,2.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,780268612,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,161,47,32,0,0,0,0,0,0,0,64,1970,41,0,0,86,88,0.0604,72,72,25.7,60.7,0.2,8,0,8,40,0,3.2,0,0,0,154,54,0,0,0,32,0,48,58,0,41,0,0,0,0,0,32,52691,0,28661,0,0,0
5,diverse,240,2,2,0.5,relocated_late,220,620,4,18,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,143472690,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,161,47,32,0,0,0,0,0,0,0,64,1950,54,0,0,86,90,0.0604,72,72,25.9,59.2,0.24,12,0,12,58,0,3,0,0,0,178,30,0,0,0,32,0,31,70,0,54,0,0,0,0,0,32,43425,0,26892,0,0,0
5,diverse,240,2,2,0.5,relocated_total,220,620,10,48,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,143472690,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,161,47,32,0,0,0,0,0,0,0,64,1950,54,0,0,86,90,0.0604,72,72,25.9,59.2,0.24,12,0,12,58,0,3,0,0,0,178,30,0,0,0,32,0,31,70,0,54,0,0,0,0,0,32,43425,0,26892,0,0,0
