seed,species,ants,days,bias_branch,bias_strength,upper_crossings,lower_crossings,total_crossings,upper_return_crossings,lower_return_crossings,return_crossings,selected_branch,return_selected_branch,dominance,return_dominance,food_trips,food_collected,food_pheromone,upper_food_pheromone,lower_food_pheromone,final_ants,dead
1,lasius,240,4,none,0,194,171,365,28,30,58,upper,lower,0.063,0.0345,32,169,25904,702,574,240,0
2,lasius,240,4,none,0,190,221,411,20,31,51,lower,lower,0.0754,0.2157,29,152,19629,475,443,240,0
3,lasius,240,4,none,0,191,254,445,29,47,76,lower,lower,0.1416,0.2368,42,223,32278,678,1012,240,0
