seed,profile,ants_requested,pre_days,post_days,adaptation_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,avg_traffic_load,traffic_max_cell,traffic_mean_occupied_cell,traffic_congested_cells,ants_with_food_memory,avg_food_memory_strength,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,state_traffic_detour,state_checking_known_food_site,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
2,medium,240,2,2,0.5,initial_food,960,180,5,24,2,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,1467842432,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,52,1979,26,0,0,85,88,0.055,0.001,5,1.21,0,28,0.515,0,0,25.6,61.5,0.18,5,0,5,24,0,2.5,0,0,0,149,55,0,0,0,36,0,141,35,0,26,0,0,0,0,0,36,0,0,19805,0,30964,0,0,0
2,medium,240,2,2,0.5,relocated_early,220,620,8,38,2.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,457695829,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,87,1975,35,0,0,86,88,0.055,0,4,1.24,0,40,0.502,0,0,25.7,60.7,0.2,13,0,13,62,0,5.2,0,0,0,188,16,0,0,0,36,0,99,68,0,35,0,0,0,0,0,36,0,1,39524,0,29892,0,0,0
2,medium,240,2,2,0.5,relocated_late,220,620,11,61,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,4074080149,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,133,1957,45,0,0,86,90,0.055,0.04,9,1.69,0,47,0.526,0,0,25.9,59.2,0.24,24,0,24,123,0,6,0,0,0,193,11,0,0,0,36,0,55,102,0,45,0,0,0,0,0,36,0,0,50065,0,26773,0,0,0
2,medium,240,2,2,0.5,relocated_total,220,620,19,99,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,4074080149,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,133,1957,45,0,0,86,90,0.055,0.04,9,1.69,0,47,0.526,0,0,25.9,59.2,0.24,24,0,24,123,0,6,0,0,0,193,11,0,0,0,36,0,55,102,0,45,0,0,0,0,0,36,0,0,50065,0,26773,0,0,0
3,medium,240,2,2,0.5,initial_food,960,180,5,23,2,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,1069827772,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,51,1980,16,0,0,86,88,0.055,0,3,1.2,0,17,0.525,0,0,25.6,61.5,0.18,5,0,5,23,0,2.5,0,0,0,188,29,0,0,0,23,0,174,25,0,16,0,0,0,0,0,23,0,0,15226,0,33700,0,0,0
3,medium,240,2,2,0.5,relocated_early,220,620,9,50,2.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,3956357134,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,100,1978,17,0,0,86,87,0.055,0.002,5,1.22,0,21,0.485,0,0,25.7,60.7,0.2,14,0,14,73,0,5.6,0,0,0,212,5,0,0,0,23,0,137,58,0,17,0,0,0,0,0,23,0,0,22934,0,33885,0,0,0
3,medium,240,2,2,0.5,relocated_late,220,620,26,134,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2471551512,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,225,1964,53,0,0,86,88,0.055,0.018,9,1.54,0,60,0.505,0,0,25.9,59.2,0.24,40,0,40,207,0,10,0,0,0,215,2,0,0,0,23,0,87,72,0,53,0,0,0,0,0,23,0,0,53619,0,28782,0,0,0
3,medium,240,2,2,0.5,relocated_total,220,620,35,184,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2471551512,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,225,1964,53,0,0,86,88,0.055,0.018,9,1.54,0,60,0.505,0,0,25.9,59.2,0.24,40,0,40,207,0,10,0,0,0,215,2,0,0,0,23,0,87,72,0,53,0,0,0,0,0,23,0,0,53619,0,28782,0,0,0
1,high,240,2,2,0.5,initial_food,960,180,0,0,2,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2596656416,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,17,1968,11,0,0,86,90,0.105,0,3,1.22,0,11,0.48,0,240,25.6,61.5,0.18,0,0,0,0,0,0,0,0,0,0,206,0,0,0,34,0,0,0,0,11,0,0,0,0,0,34,0,0,7507,0,31344,0,0,0
1,high,240,2,2,0.5,relocated_early,220,620,5,23,2.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,3460904008,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,38,1965,15,0,0,86,90,0.105,0,3,1.21,0,17,0.472,0,240,25.7,60.7,0.2,5,0,5,23,0,2,0,0,0,7,199,0,0,0,34,0,0,0,0,15,0,0,0,0,0,34,0,0,15057,0,31637,0,0,0
