seed,profile,ants_requested,pre_days,post_days,adaptation_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
1,medium,240,4,4,0.5,relocated_early,220,620,28,150,4.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1811815924,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,1,1,0,0,0,265,1951,41,0,0,87,90,0.055,0,0,25.9,59,0.25,51,0,51,258,0,11.333,0,0,0,199,7,0,0,0,34,0,48,102,0,41,0,0,0,0,0,34,52758,0,24576,0,0,0
1,medium,240,4,4,0.5,relocated_late,220,620,48,249,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,139319933,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,1,1,0,0,0,491,1924,9,0,0,88,90,0.055,0,0,26,58.2,0.27,99,0,99,507,0,12.375,0,0,0,205,1,0,0,0,34,0,136,43,0,9,0,0,0,0,0,34,12419,0,32305,0,0,0
1,medium,240,4,4,0.5,relocated_total,220,620,76,399,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,139319933,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,1,1,0,0,0,491,1924,9,0,0,88,90,0.055,0,0,26,58.2,0.27,99,0,99,507,0,12.375,0,0,0,205,1,0,0,0,34,0,136,43,0,9,0,0,0,0,0,34,12419,0,32305,0,0,0
2,medium,240,4,4,0.5,initial_food,960,180,28,146,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2739295990,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,0,0,0,0,0,0,0,161,1960,72,0,0,86,89,0.055,0,0,25.9,59.2,0.24,28,0,28,146,0,7,0,0,0,200,4,0,0,0,36,0,46,82,0,72,0,0,0,0,0,36,67340,0,23460,0,0,0
2,medium,240,4,4,0.5,relocated_early,220,620,20,98,4.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2615242688,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,156,48,36,1,0,0,1,0,0,0,254,1953,57,0,0,87,90,0.055,0,0,25.9,59,0.25,48,0,48,244,0,10.667,0,0,0,201,3,0,0,0,36,0,42,91,0,57,0,0,0,0,0,36,63040,0,23386,0,0,0
2,medium,240,4,4,0.5,relocated_late,220,620,62,303,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2921214084,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,157,48,36,0,0,0,0,0,0,0,534,1926,11,0,0,88,90,0.0551,0,1,26,58.2,0.27,110,0,110,547,0,13.75,0,0,0,205,0,0,0,0,36,0,139,40,0,11,0,0,0,0,0,36,15794,0,32001,0,0,0
2,medium,240,4,4,0.5,relocated_total,220,620,82,401,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2921214084,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,157,48,36,0,0,0,0,0,0,0,534,1926,11,0,0,88,90,0.0551,0,1,26,58.2,0.27,110,0,110,547,0,13.75,0,0,0,205,0,0,0,0,36,0,139,40,0,11,0,0,0,0,0,36,15794,0,32001,0,0,0
3,medium,240,4,4,0.5,initial_food,960,180,80,387,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1881945507,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,0,0,0,0,0,399,1953,56,0,0,89,90,0.055,0,0,25.9,59.2,0.24,80,0,80,387,0,20,0,0,0,215,2,0,0,0,23,0,50,107,0,56,0,0,0,0,0,23,54851,0,26011,0,0,0
3,medium,240,4,4,0.5,relocated_early,220,620,25,120,4.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,4045667628,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,1,0,0,1,0,0,0,514,1946,33,0,0,89,91,0.055,0,0,25.9,59,0.25,105,0,105,507,0,23.333,0,0,0,216,1,0,0,0,23,0,68,85,0,33,0,0,0,0,0,23,45117,0,27059,0,0,0
3,medium,240,4,4,0.5,relocated_late,220,620,41,204,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3627805164,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,1,1,0,0,0,697,1922,14,0,0,89,91,0.055,0,0,26,58.2,0.27,146,0,146,711,0,18.25,0,0,0,217,0,0,0,0,23,0,139,48,0,14,0,0,0,0,0,23,15997,0,33121,0,0,0
3,medium,240,4,4,0.5,relocated_total,220,620,66,324,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3627805164,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,163,54,23,0,0,1,1,0,0,0,697,1922,14,0,0,89,91,0.055,0,0,26,58.2,0.27,146,0,146,711,0,18.25,0,0,0,217,0,0,0,0,23,0,139,48,0,14,0,0,0,0,0,23,15997,0,33121,0,0,0
4,medium,240,4,4,0.5,initial_food,960,180,19,100,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3898460535,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,0,0,0,0,0,112,1958,71,0,0,85,90,0.055,0,0,25.9,59.2,0.24,19,0,19,100,0,4.75,0,0,0,204,8,0,0,0,28,0,54,83,0,71,0,0,0,0,0,28,56047,0,26788,0,0,0
4,medium,240,4,4,0.5,relocated_early,220,620,22,115,4.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2866000362,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,1,0,0,1,0,0,0,221,1952,54,0,0,86,90,0.055,0,0,25.9,59,0.25,41,0,41,215,0,9.111,0,0,0,208,4,0,0,0,28,0,48,95,0,54,0,0,0,0,0,28,64491,0,25184,0,0,0
4,medium,240,4,4,0.5,relocated_late,220,620,62,300,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1638649271,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,1,1,0,0,0,497,1924,10,0,0,88,91,0.055,0,0,26,58.2,0.27,103,0,103,515,0,12.875,0,0,0,212,0,0,0,0,28,0,135,55,0,10,0,0,0,0,0,28,14415,0,32415,0,0,0
4,medium,240,4,4,0.5,relocated_total,220,620,84,415,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1638649271,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,158,54,28,0,0,1,1,0,0,0,497,1924,10,0,0,88,91,0.055,0,0,26,58.2,0.27,103,0,103,515,0,12.875,0,0,0,212,0,0,0,0,28,0,135,55,0,10,0,0,0,0,0,28,14415,0,32415,0,0,0
5,medium,240,4,4,0.5,initial_food,960,180,23,119,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,937986968,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,161,47,32,0,0,0,0,0,0,0,130,1954,57,0,0,86,90,0.055,0,0,25.9,59.2,0.24,23,0,23,119,0,5.75,0,0,0,184,24,0,0,0,32,0,59,87,0,57,0,0,0,0,0,32,54264,0,25583,0,0,0
5,medium,240,4,4,0.5,relocated_early,220,620,23,122,4.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3708238409,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,161,47,32,1,0,0,1,0,0,0,246,1948,36,0,0,87,90,0.055,0,0,25.9,59,0.25,46,0,46,241,0,10.222,0,0,0,194,14,0,0,0,32,0,68,88,0,36,0,0,0,0,0,32,50828,0,25865,0,0,0
5,medium,240,4,4,0.5,relocated_late,220,620,39,191,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1699691562,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,162,47,32,0,0,0,0,0,0,0,414,1923,9,0,0,88,90,0.0551,0,0,26,58.2,0.27,85,0,85,432,0,10.625,0,0,0,208,1,0,0,0,32,0,156,34,0,9,0,0,0,0,0,32,11557,0,32735,0,0,0
5,medium,240,4,4,0.5,relocated_total,220,620,62,313,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,1699691562,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,162,47,32,0,0,0,0,0,0,0,414,1923,9,0,0,88,90,0.0551,0,0,26,58.2,0.27,85,0,85,432,0,10.625,0,0,0,208,1,0,0,0,32,0,156,34,0,9,0,0,0,0,0,32,11557,0,32735,0,0,0
6,medium,240,4,4,0.5,initial_food,960,180,69,356,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,815911696,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,60,28,0,0,0,0,0,0,0,369,1951,57,0,0,88,90,0.055,0,0,25.9,59.2,0.24,69,0,69,356,0,17.25,0,0,0,208,4,0,0,0,28,0,60,91,0,57,0,0,0,0,0,28,51858,0,24655,0,0,0
6,medium,240,4,4,0.5,relocated_early,220,620,36,186,4.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,422921808,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,60,28,1,0,0,1,0,0,0,550,1945,26,0,0,90,91,0.055,0,0,25.9,59,0.25,105,0,105,542,0,23.333,0,0,0,210,2,0,0,0,28,0,46,113,0,26,0,0,0,0,0,28,46784,0,25860,0,0,0
6,medium,240,4,4,0.5,relocated_late,220,620,35,177,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2767128630,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,60,28,0,1,0,1,0,0,0,712,1925,6,0,0,89,90,0.055,0,0,26,58.2,0.27,140,0,140,719,0,17.5,0,0,0,212,0,0,0,0,28,0,149,39,0,6,0,0,0,0,0,28,11290,0,33237,0,0,0
6,medium,240,4,4,0.5,relocated_total,220,620,71,363,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2767128630,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,60,28,0,1,0,1,0,0,0,712,1925,6,0,0,89,90,0.055,0,0,26,58.2,0.27,140,0,140,719,0,17.5,0,0,0,212,0,0,0,0,28,0,149,39,0,6,0,0,0,0,0,28,11290,0,33237,0,0,0
7,medium,240,4,4,0.5,initial_food,960,180,36,173,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2917117923,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,166,45,29,0,0,0,0,0,0,0,185,1955,69,0,0,86,89,0.055,0,0,25.9,59.2,0.24,36,0,36,173,0,9,0,0,0,206,5,0,0,0,29,0,67,63,0,69,0,0,0,0,0,29,54315,0,24597,0,0,0
7,medium,240,4,4,0.5,relocated_early,220,620,40,208,4.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,809920557,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,166,45,29,0,1,0,1,0,0,0,388,1946,33,0,0,88,89,0.055,0,0,25.9,59,0.25,76,0,76,381,0,16.889,0,0,0,207,4,0,0,0,29,0,63,95,0,33,0,0,0,0,0,29,47792,0,25208,0,0,0
7,medium,240,4,4,0.5,relocated_late,220,620,52,262,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3138274509,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,166,45,29,0,0,1,1,0,0,0,632,1923,18,0,0,88,89,0.055,0,0,26,58.2,0.27,128,0,128,643,0,16,0,0,0,211,0,0,0,0,29,0,142,34,0,18,0,0,0,0,0,29,19029,0,33348,0,0,0
7,medium,240,4,4,0.5,relocated_total,220,620,92,470,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,3138274509,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,166,45,29,0,0,1,1,0,0,0,632,1923,18,0,0,88,89,0.055,0,0,26,58.2,0.27,128,0,128,643,0,16,0,0,0,211,0,0,0,0,29,0,142,34,0,18,0,0,0,0,0,29,19029,0,33348,0,0,0
8,medium,240,4,4,0.5,initial_food,960,180,26,132,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2006916002,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,153,61,26,0,0,0,0,0,0,0,148,1962,70,0,0,85,89,0.055,0,0,25.9,59.2,0.24,26,0,26,132,0,6.5,0,0,0,206,8,0,0,0,26,0,71,71,0,70,0,0,0,0,0,26,64585,0,26684,0,0,0
8,medium,240,4,4,0.5,relocated_early,220,620,10,50,4.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,2898049979,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,153,61,26,1,0,0,1,0,0,0,191,1954,66,0,0,86,90,0.055,0,0,25.9,59,0.24,36,0,36,182,0,8,0,0,0,207,7,0,0,0,26,0,59,80,0,66,0,0,0,0,0,26,61375,0,25228,0,0,0
8,medium,240,4,4,0.5,relocated_late,220,620,112,566,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,885911819,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,154,61,26,0,0,0,0,0,0,0,728,1923,23,0,0,90,91,0.055,0,0,26,58.2,0.27,148,0,148,748,0,18.5,0,0,0,215,0,0,0,0,26,0,112,64,0,23,0,0,0,0,0,26,26906,0,30413,0,0,0
8,medium,240,4,4,0.5,relocated_total,220,620,122,616,8,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,885911819,lasius,1.4,241,120,100,80,10,26,58,45,25,95,0,12,241,1,154,61,26,0,0,0,0,0,0,0,728,1923,23,0,0,90,91,0.055,0,0,26,58.2,0.27,148,0,148,748,0,18.5,0,0,0,215,0,0,0,0,26,0,112,64,0,23,0,0,0,0,0,26,26906,0,30413,0,0,0
1,high,240,4,4,0.5,initial_food,960,180,16,78,4,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,733184272,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,0,0,0,0,0,0,0,91,1961,9,0,0,85,89,0.105,0,240,25.9,59.2,0.24,16,0,16,78,0,4,0,0,0,201,5,0,0,0,34,0,0,0,0,9,0,0,0,0,0,34,16628,0,32579,0,0,0
1,high,240,4,4,0.5,relocated_early,220,620,3,13,4.5,0.3-literature-alignment,provisional_behavioral_units,20,60,38,3.6,86400,582343416,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,154,52,34,1,0,0,1,0,0,0,102,1959,17,0,0,85,88,0.105,0,240,25.9,58.9,0.25,19,0,19,91,0,4.222,0,0,0,203,3,0,0,0,34,0,0,0,0,17,0,0,0,0,0,34,19511,0,32198,0,0,0
