seed,species,ants,days,bias_branch,bias_strength,upper_crossings,lower_crossings,total_crossings,upper_return_crossings,lower_return_crossings,return_crossings,selected_branch,return_selected_branch,dominance,return_dominance,food_trips,food_collected,food_pheromone,upper_food_pheromone,lower_food_pheromone,final_ants,dead
1,lasius,241,8,none,0,405,381,786,58,67,125,upper,lower,0.0305,0.072,105,541,18227,438,412,241,0
2,lasius,240,8,none,0,745,742,1487,168,148,316,upper,upper,0.002,0.0633,176,885,42881,1357,1491,240,0
3,lasius,240,8,none,0,428,326,754,80,42,122,upper,upper,0.1353,0.3115,103,507,16130,509,335,240,0
