seed,species,ants,days,bias_branch,bias_strength,upper_crossings,lower_crossings,total_crossings,upper_return_crossings,lower_return_crossings,return_crossings,selected_branch,return_selected_branch,dominance,return_dominance,food_trips,food_collected,food_pheromone,upper_food_pheromone,lower_food_pheromone,final_ants,dead
1,lasius,240,6,upper,350,407,279,686,72,50,122,upper,upper,0.1866,0.1803,83,412,42528,990,1213,240,0
2,lasius,240,6,upper,350,372,272,644,80,47,127,upper,upper,0.1553,0.2598,98,486,30572,968,592,240,0
3,lasius,240,6,upper,350,437,315,752,104,72,176,upper,upper,0.1622,0.1818,102,520,45735,1439,951,240,0
