seed,species,ants,days,bias_branch,bias_strength,upper_crossings,lower_crossings,total_crossings,upper_return_crossings,lower_return_crossings,return_crossings,selected_branch,return_selected_branch,dominance,return_dominance,food_trips,food_collected,food_pheromone,upper_food_pheromone,lower_food_pheromone,final_ants,dead
1,lasius,241,8,none,0,689,675,1364,106,120,226,upper,lower,0.0103,0.0619,109,552,27690,928,478,241,0
2,lasius,241,8,none,0,788,651,1439,162,127,289,upper,upper,0.0952,0.1211,134,684,34527,1066,1325,241,0
3,lasius,241,8,none,0,746,1026,1772,132,258,390,lower,lower,0.158,0.3231,251,1256,42555,470,1689,241,0
