seed,profile,ants_requested,pre_days,post_days,adaptation_days,phase,food_x,food_y,phase_food_trips,phase_food_collected,day,model_version,calibration_status,px_per_cm,arena_width_cm,arena_height_cm,nest_radius_cm,sim_day_seconds,random_state,species,speed,ant_count_target,pheromone_strength,diffusion_rate,evaporation_rate,sense_threshold,temperature,humidity,resource_pressure,threat_pressure,hunger_pressure,brood_demand,soldier_ratio,ants,queens,role_worker,role_nurse,role_soldier,eggs,larvae,pupae,brood_total,dead,nest_corpses,disposed_corpses,food_store,water_store,carrying_food,carrying_water,carrying_corpse,avg_energy,avg_hydration,avg_turn_noise,avg_traffic_load,traffic_max_cell,traffic_mean_occupied_cell,traffic_congested_cells,ants_with_food_memory,avg_food_memory_strength,low_noise_ants,high_noise_ants,brood_temp,brood_humidity,brood_stress,food_trips,water_trips,foraging_trips,food_collected,water_collected,food_trip_rate,water_trip_rate,corpse_moves,corpse_move_rate,task_explore,task_food,task_water,task_brood,task_corpse,task_patrol,task_defense,state_exploring,state_following_food_trail,state_following_water_trail,state_carrying_food,state_carrying_water,state_brood_care,state_corpse_cleanup,state_carrying_corpse,state_returning_to_recover,state_patrolling,state_traffic_detour,state_checking_known_food_site,food_pheromone,water_pheromone,nest_pheromone,alarm_pheromone,death_pheromone,avoid_pheromone
6,low,240,4,4,0.5,initial_food,960,180,2,10,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,3251387600,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,60,28,0,0,0,0,0,0,0,17,1950,121,0,0,86,90,0.018,0.41,11,2.29,7,121,0.669,240,0,25.9,59.2,0.24,2,0,2,10,0,0.5,0,0,0,8,204,0,0,0,28,0,22,64,0,121,0,0,0,0,0,28,0,0,62274,0,16255,0,0,0
6,low,240,4,4,0.5,relocated_early,220,620,21,104,4.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2544875344,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,60,28,1,0,0,1,0,0,0,114,1943,101,0,0,87,91,0.018,0.461,16,2.35,10,118,0.615,240,0,25.9,59,0.25,23,0,23,114,0,5.111,0,0,0,110,102,0,0,0,28,0,20,89,0,101,0,0,0,0,0,28,0,2,57446,0,15004,0,0,0
6,low,240,4,4,0.5,relocated_late,220,620,118,600,8,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,438187530,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,60,28,0,1,0,1,0,0,0,694,1918,35,0,0,90,91,0.018,0.181,10,1.45,4,46,0.595,240,0,26,58.2,0.27,141,0,141,714,0,17.625,0,0,0,212,0,0,0,0,28,0,108,64,0,35,0,0,0,0,0,28,0,0,29099,0,29881,0,0,0
6,low,240,4,4,0.5,relocated_total,220,620,139,704,8,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,438187530,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,152,60,28,0,1,0,1,0,0,0,694,1918,35,0,0,90,91,0.018,0.181,10,1.45,4,46,0.595,240,0,26,58.2,0.27,141,0,141,714,0,17.625,0,0,0,212,0,0,0,0,28,0,108,64,0,35,0,0,0,0,0,28,0,0,29099,0,29881,0,0,0
7,low,240,4,4,0.5,initial_food,960,180,98,506,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,1466528596,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,166,45,29,0,0,0,0,0,0,0,523,1955,74,0,0,88,89,0.018,0.481,18,2.18,8,80,0.645,240,0,25.9,59.2,0.24,98,0,98,506,0,24.5,0,0,0,209,2,0,0,0,29,0,43,93,0,74,0,0,0,0,0,29,0,0,37561,0,20777,0,0,0
7,low,240,4,4,0.5,relocated_early,220,620,38,199,4.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2768432814,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,166,45,29,0,1,0,1,0,0,0,717,1947,39,0,0,89,89,0.018,0.316,16,1.88,5,55,0.549,240,0,25.9,59,0.25,136,0,136,705,0,30.222,0,0,0,211,0,0,0,0,29,0,53,115,0,39,0,0,0,0,0,29,0,3,36647,0,21296,0,0,0
7,low,240,4,4,0.5,relocated_late,220,620,120,593,8,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,239270104,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,166,45,29,0,1,0,1,0,0,0,1296,1918,42,0,0,90,90,0.018,0.421,14,1.92,9,56,0.581,240,0,26,58.2,0.27,256,0,256,1298,0,32,0,0,0,211,0,0,0,0,29,0,71,95,0,42,0,0,0,0,0,29,0,0,28890,0,24950,0,0,0
7,low,240,4,4,0.5,relocated_total,220,620,158,792,8,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,239270104,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,166,45,29,0,1,0,1,0,0,0,1296,1918,42,0,0,90,90,0.018,0.421,14,1.92,9,56,0.581,240,0,26,58.2,0.27,256,0,256,1298,0,32,0,0,0,211,0,0,0,0,29,0,71,95,0,42,0,0,0,0,0,29,0,0,28890,0,24950,0,0,0
8,low,240,4,4,0.5,initial_food,960,180,107,544,4,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,2732586678,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,153,61,26,0,0,0,0,0,0,0,555,1953,49,0,0,89,91,0.018,0.437,12,2.14,8,59,0.608,240,0,25.9,59.2,0.24,107,0,107,544,0,26.75,0,0,0,212,2,0,0,0,26,0,40,121,0,49,0,0,0,0,0,26,0,0,40550,0,21953,0,0,0
8,low,240,4,4,0.5,relocated_early,220,620,26,132,4.5,0.4-traffic-memory,provisional_behavioral_units,20,60,38,3.6,86400,1879060754,lasius,1.4,240,120,100,80,10,26,58,45,25,95,0,12,240,1,153,61,26,1,0,0,1,0,0,0,682,1947,25,0,0,90,91,0.018,0.308,16,1.67,6,34,0.579,240,0,25.9,59,0.25,133,0,133,676,0,29.556,0,0,0,212,2,0,0,0,26,0,56,129,0,25,0,0,0,0,0,26,0,3,31358,0,23363,0,0,0
